"","Transcript","Gene"
"1","ENST00000552091.1"," LTA4H"
"2","ENST00000462363.6"," PTPRC"
"3","ENST00000617161.1"," CA9"
"4","ENST00000485665.1"," CA9"
"5","ENST00000433400.6"," CTNNB1"
"6","ENST00000379453.5"," ADRA1D"
"7","ENST00000406653.5"," GALNT14"
"8","ENST00000646381.1"," CTNNB1"
"9","ENST00000642248.1"," CTNNB1"
"10","ENST00000464652.1"," SCN5A"
"11","ENST00000349752.9"," GALNT14"
"12","ENST00000481023.5"," GALNT14"
"13","ENST00000414099.6"," SCN5A"
"14","ENST00000397072.7"," MAPK9"
"15","ENST00000340058.5"," RET"
"16","ENST00000393362.8"," MAPK9"
"17","ENST00000355710.7"," RET"
"18","ENST00000378357.8"," CA9"
"19","ENST00000464038.5"," GALNT14"
"20","ENST00000647720.1"," CFTR"
"21","ENST00000423572.6"," SCN5A"
"22","ENST00000491944.1"," SCN5A"
"23","ENST00000523583.1"," MAPK9"
"24","ENST00000359597.8"," TP53"
"25","ENST00000407230.5"," NCOA1"
"26","ENST00000498206.5"," GALNT14"
"27","ENST00000510193.1"," SH3BP2"
"28","ENST00000546407.1"," CFTR"
"29","ENST00000612051.1"," IKBKG"
"30","ENST00000471014.2"," CTNNB1"
"31","ENST00000288599.9"," NCOA1"
"32","ENST00000518077.5"," GFRA2"
"33","ENST00000424136.5"," GALNT14"
"34","ENST00000594239.5"," IKBKG"
"35","ENST00000455477.5"," GALNT14"
"36","ENST00000368667.6"," FYN"
"37","ENST00000553041.5"," LTA4H"
"38","ENST00000425664.5"," SCN5A"
"39","ENST00000649781.1"," CFTR"
"40","ENST00000487824.2"," FYN"
"41","ENST00000318560.5"," ABL1"
"42","ENST00000503591.1"," TP53"
"43","ENST00000629890.2"," PLAGL1"
"44","ENST00000620739.4"," TP53"
"45","ENST00000481944.1"," AHR"
"46","ENST00000426809.5"," CFTR"
"47","ENST00000327956.6"," SCN5A"
"48","ENST00000604348.5"," TP53"
"49","ENST00000523570.5"," FYN"
"50","ENST00000442336.1"," FCGR3A"
"51","ENST00000464038.5"," GALNT14"
"52","ENST00000548852.5"," LTA4H"
"53","ENST00000523583.1"," MAPK9"
"54","ENST00000626462.2"," PLAGL1"
"55","ENST00000349752.9"," GALNT14"
"56","ENST00000462598.7"," FYN"
"57","ENST00000406653.5"," GALNT14"
"58","ENST00000643513.1"," PTPRC"
"59","ENST00000485665.1"," CA9"
"60","ENST00000617161.1"," CA9"
"61","ENST00000481023.5"," GALNT14"
"62","ENST00000464652.1"," SCN5A"
"63","ENST00000414099.6"," SCN5A"
"64","ENST00000368667.6"," FYN"
"65","ENST00000642248.1"," CTNNB1"
"66","ENST00000646381.1"," CTNNB1"
"67","ENST00000397072.7"," MAPK9"
"68","ENST00000433400.6"," CTNNB1"
"69","ENST00000379453.5"," ADRA1D"
"70","ENST00000378357.8"," CA9"
"71","ENST00000355710.7"," RET"
"72","ENST00000420292.1"," LYN"
"73","ENST00000393362.8"," MAPK9"
"74","ENST00000483904.5"," NCOA1"
"75","ENST00000647720.1"," CFTR"
"76","ENST00000340058.5"," RET"
"77","ENST00000523570.5"," FYN"
"78","ENST00000367379.6"," PTPRC"
"79","ENST00000476683.1"," SCN5A"
"80","ENST00000469850.5"," NCOA1"
"81","ENST00000467921.6"," FYN"
"82","ENST00000462363.6"," PTPRC"
"83","ENST00000619186.4"," TP53"
"84","ENST00000420292.1"," LYN"
"85","ENST00000546442.5"," FGD4"
"86","ENST00000413409.6"," PTPRC"
"87","ENST00000395611.7"," MAPK8"
"88","ENST00000562482.1"," UBE2I"
"89","ENST00000645320.1"," CTNNB1"
"90","ENST00000333535.8"," SCN5A"
"91","ENST00000520050.1"," LYN"
"92","ENST00000441708.2"," CTNNB1"
"93","ENST00000465552.2"," CTNNB1"
"94","ENST00000647836.1"," ABCC2"
"95","ENST00000503591.1"," TP53"
"96","ENST00000566587.5"," UBE2I"
"97","ENST00000645276.1"," CTNNB1"
"98","ENST00000461171.1"," CD40"
"99","ENST00000504290.5"," TP53"
"100","ENST00000498206.5"," GALNT14"
"101","ENST00000325437.9"," UBE2I"
"102","ENST00000518295.5"," FYN"
"103","ENST00000626462.2"," PLAGL1"
"104","ENST00000395856.3"," NCOA1"
"105","ENST00000604348.5"," TP53"
"106","ENST00000619186.4"," TP53"
"107","ENST00000425491.6"," MAPK9"
"108","ENST00000391970.3"," PTPRC"
"109","ENST00000561970.1"," BCAR1"
"110","ENST00000413409.6"," PTPRC"
"111","ENST00000525053.5"," FGD4"
"112","ENST00000311027.9"," MADD"
"113","ENST00000425491.6"," MAPK9"
"114","ENST00000504290.5"," TP53"
"115","ENST00000512131.5"," SH3BP2"
"116","ENST00000642825.1"," AHR"
"117","ENST00000372285.7"," CD40"
"118","ENST00000523135.1"," MAPK9"
"119","ENST00000489304.5"," CD40"
"120","ENST00000503393.6"," SH3BP2"
"121","ENST00000518295.5"," FYN"
"122","ENST00000242057.8"," AHR"
"123","ENST00000544786.1"," MAPK1"
"124","ENST00000568209.5"," UBE2I"
"125","ENST00000440286.5"," IKBKG"
"126","ENST00000327956.6"," SCN5A"
"127","ENST00000527891.5"," ATM"
"128","ENST00000356331.9"," SH3BP2"
"129","ENST00000611071.4"," IKBKG"
"130","ENST00000534625.1"," ATM"
"131","ENST00000544786.1"," MAPK1"
"132","ENST00000485265.2"," CTNNB1"
"133","ENST00000398822.7"," MAPK1"
"134","ENST00000649932.1"," ABCC2"
"135","ENST00000638443.1"," ATM"
"136","ENST00000471959.2"," FYN"
"137","ENST00000475440.1"," AHR"
"138","ENST00000492120.1"," AHR"
"139","ENST00000406620.5"," UBE2I"
"140","ENST00000642992.1"," CTNNB1"
"141","ENST00000645493.1"," CTNNB1"
"142","ENST00000370449.9"," ABCC2"
"143","ENST00000455477.5"," GALNT14"
"144","ENST00000493898.1"," PLAGL1"
"145","ENST00000476683.1"," SCN5A"
"146","ENST00000647814.1"," ABCC2"
"147","ENST00000467899.5"," FYN"
"148","ENST00000639953.1"," ATM"
"149","ENST00000393360.7"," MAPK9"
"150","ENST00000530958.5"," ATM"
"151","ENST00000542713.1"," FKBP5"
"152","ENST00000644138.1"," CTNNB1"
"153","ENST00000525537.2"," ATM"
"154","ENST00000495927.5"," FYN"
"155","ENST00000354650.7"," FYN"
"156","ENST00000467899.5"," FYN"
"157","ENST00000462856.6"," FYN"
"158","ENST00000354650.7"," FYN"
