# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:24:19
# SEK
#----------------------------

"W-117","ENST00000490164.1"
"0.000000e+00","1.140687e+04"
"    0.000000","3.722019e+03"
"1.207334e+01","2.681583e+03"
"2.122093e+00","1.265518e+03"
"2.398608e+00","1.287913e+03"
"0.000000e+00","1.007922e+03"
"0.000000e+00","1.132683e+04"
"2.274391e+00","2.076649e+03"
"0.000000e+00","1.812484e+03"
"0.000000e+00","7.136899e+02"
"    0.000000","4.833212e+02"
"    0.000000","6.504775e+02"
"    9.095726","3.852638e+04"
"    0.000000","5.030625e+02"
"    0.000000","1.230631e+03"
"    2.831557","5.884620e+02"
"0.000000e+00","9.347793e+02"
"0.000000e+00","1.025903e+03"
"    0.00000","1.831826e+03"
"    0.000000","1.843862e+03"
"    1.045096","1.074135e+03"
"    0.000000","1.110701e+03"
"0.000000e+00","5.918412e+02"
"5.930283e+01","1.323438e+02"
"0.000000e+00","1.536119e+03"
"    0.000000","4.335447e+02"
"    0.000000","2.027114e+03"
"    0.000000","6.427488e+02"
"0.000000e+00","6.678261e+02"
"    0.000000","   1699.4016"
"0.000000e+00","4.487481e+03"
"0.000000e+00","1.980711e+03"
"    0.000000","7.596320e+02"
"    0.000000","1.536633e+03"
"    0.000000","9.826930e+02"
"    0.000000","1.585834e+03"
"    6.122586","8.544737e+02"
"    0.000000","1.145042e+03"
"5.943375e+00","2.673542e+02"
"    0.000000","1.661298e+03"
"    0.000000","9.226592e+02"
"    0.000000","8.767984e+02"
"    0.000000","2.597778e+03"
"    0.000000","6.873007e+02"
"0.000000e+00","4.910052e+02"
"0.000000e+00","2.868807e+04"
"    0.000000","2.598060e+03"
"0.000000e+00","1.123847e+03"
"    0.000000","1.803857e+03"
"0.000000e+00","6.735248e+02"
"    1.318247","2.243308e+03"
"    0.000000","8.681398e+02"
"    0.000000","1.147293e+04"
"    0.000000","1.504222e+03"
"    0.000000","1.021298e+03"
"    0.000000","1.171907e+03"
"0.000000e+00","1.530882e+03"
"    0.000000","2.177000e+03"
