# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:16
# SEK
#----------------------------

"status","K-42","ENST00000426557.5"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","8.605825e+00"
"case","5.174287e+00","6.790727e+00"
"control","4.951549e+00","9.487738e+00"
"case","4.797215e+00","1.259133e+01"
"control","0.000000e+00","2.140611e+01"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","1.734825e+01"
"case","7.542741e-01","2.192520e+01"
"case","6.503319e-01","2.752179e+01"
"case","    0.000000","1.153053e+01"
"control","    1.347212","1.233133e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","2.355731e+01"
"case","    3.847082","1.020885e+01"
"control","    0.000000","4.611771e+00"
"case","0.000000e+00","1.227123e+01"
"case","0.000000e+00","1.199886e+01"
"control","    1.09708","3.219523e+01"
"case","    0.000000","1.806903e+01"
"control","    9.405865","2.231370e+01"
"case","    0.000000","1.918152e+01"
"case","9.230309e-01","1.842594e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.135623e+01"
"case","    6.587451","1.295452e+01"
"control","    4.031072","2.203384e+01"
"case","    0.000000","1.497443e+01"
"case","9.669471e-01","1.292567e+01"
"case","    0.000000","     15.7248"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","1.157042e+01"
"control","    1.181335","1.530542e+01"
"control","    0.000000","2.103723e+01"
"control","    0.000000","1.440899e+00"
"case","    0.000000","1.589366e+01"
"control","    0.000000","2.358420e+01"
"control","    3.140573","1.608795e+01"
"control","9.905626e-01","2.087152e+01"
"case","    0.000000","1.194565e+01"
"control","    0.000000","1.328933e+01"
"case","    1.380711","1.691572e+01"
"case","    0.000000","1.410399e+01"
"case","    0.000000","1.293922e+01"
"control","3.351250e+00","1.016311e+01"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.571860e+01"
"control","2.258711e+00","1.289085e+01"
"case","    1.083699","6.559478e+00"
"case","0.000000e+00","1.602105e+01"
"control","    6.591236","1.508388e+01"
"case","    0.000000","1.634573e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","6.560471e+00"
"case","    1.106258","1.628648e+01"
"case","    1.080163","1.051037e+01"
"case","9.809206e-01","1.562883e+01"
"case","    0.000000","1.250287e+01"
