# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:23
# SEK
#----------------------------

"status","UID-142","ENST00000333535.8"
"case","4.283895e-01","1.043607e+03"
"control","    1.070963","8.605825e-01"
"case","2.069715e+01","7.545253e-01"
"control","2.122093e+00","4.378956e+00"
"case","8.794895e+00","0.000000e+00"
"control","0.000000e+00","6.116031e-01"
"case","4.326106e+01","9.249300e+02"
"control","7.581303e+00","3.212638e+00"
"case","7.542741e-01","3.986401e+00"
"case","9.104646e+00","6.254951e-01"
"case","    8.529401","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","3.397388e+02"
"control","    0.000000","6.839218e+00"
"case","   10.258884","1.856155e+00"
"control","    9.910450","9.223542e-01"
"case","3.635293e+00","7.218373e-01"
"case","1.665088e+01","7.499288e-01"
"control","    2.19416","8.255188e+00"
"case","    7.345359","2.463958e+00"
"control","    3.135288","7.694379e-01"
"case","    7.922413","1.826811e+00"
"case","5.538186e+00","0.000000e+00"
"control","0.000000e+00","1.495485e+03"
"control","3.795748e+00","2.271245e+00"
"case","    1.317490","0.000000e+00"
"control","    2.687381","0.000000e+00"
"case","    6.717306","3.455639e+00"
"case","1.257031e+01","1.436185e+00"
"case","    0.000000","      0.0000"
"case","1.743626e+00","1.374371e+02"
"case","8.550097e+00","2.169454e+00"
"control","    0.000000","1.611096e+00"
"control","    1.024218","0.000000e+00"
"control","    3.854194","0.000000e+00"
"case","    0.000000","3.531924e+00"
"control","    8.163448","1.814169e+00"
"control","    4.710860","0.000000e+00"
"control","9.905626e-01","0.000000e+00"
"case","    7.642918","1.706521e+00"
"control","    5.246095","0.000000e+00"
"case","    8.284268","2.819287e+00"
"case","    3.707606","0.000000e+00"
"case","    4.971615","3.044522e+00"
"control","8.378125e-01","1.270389e+00"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","2.245514e+00"
"control","1.505807e+00","1.757843e+01"
"case","    1.083699","0.000000e+00"
"case","5.837765e+00","1.281684e+00"
"control","    6.591236","8.379933e-01"
"case","    2.111611","0.000000e+00"
"control","    0.000000","2.675382e+01"
"case","    1.262759","0.000000e+00"
"case","    5.531291","1.357206e+00"
"case","    9.721465","2.252223e+00"
"case","3.923682e+00","0.000000e+00"
"case","    1.447026","0.000000e+00"
