# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:24
# SEK
#----------------------------

"status","4017","ENST00000642426.1"
"case","1.370846e+01","0.000000e+00"
"control","   13.922515","0.000000e+00"
"case","8.623812e+00","3.018101e+00"
"control","1.556201e+01","2.189478e+00"
"case","1.918886e+01","8.993805e-01"
"control","0.000000e+00","2.446412e+00"
"case","1.661061e+02","0.000000e+00"
"control","9.097564e+00","6.425277e-01"
"case","1.508548e+00","1.993200e+00"
"case","0.000000e+00","3.752971e+00"
"case","    0.000000","1.921754e+00"
"control","    0.000000","2.055221e+00"
"case","   21.602348","0.000000e+00"
"control","    3.131746","2.279739e+00"
"case","    0.000000","3.712310e+00"
"control","   11.326228","2.767063e+00"
"case","2.726470e+00","1.443675e+00"
"case","9.250488e-01","1.499858e+00"
"control","    0.00000","1.651038e+00"
"case","    0.000000","2.463958e+00"
"control","   13.586250","3.847190e+00"
"case","    0.000000","9.134055e-01"
"case","0.000000e+00","2.948151e+00"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","2.271245e+00"
"case","    0.000000","2.590905e+00"
"control","   10.749525","0.000000e+00"
"case","    1.679327","2.303759e+00"
"case","4.834736e+00","2.154278e+00"
"case","    0.000000","      3.3696"
"case","0.000000e+00","0.000000e+00"
"case","1.900022e+00","7.231512e-01"
"control","    1.181335","1.611096e+00"
"control","    0.000000","0.000000e+00"
"control","    1.927097","0.000000e+00"
"case","    0.000000","8.829811e-01"
"control","    1.020431","2.721254e+00"
"control","    0.000000","2.098428e+00"
"control","1.981125e+00","0.000000e+00"
"case","    1.091845","4.266303e+00"
"control","    0.000000","3.796952e+00"
"case","    0.000000","9.397624e-01"
"case","    0.000000","0.000000e+00"
"case","    8.700326","2.283391e+00"
"control","6.702500e+00","1.905583e+00"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","3.742524e+00"
"control","7.529037e-01","1.757843e+00"
"case","    0.000000","1.639870e+00"
"case","3.335866e+00","3.204210e+00"
"control","    9.227730","0.000000e+00"
"case","    0.000000","1.816192e+00"
"control","    7.140065","0.000000e+00"
"case","    0.000000","1.874420e+00"
"case","    0.000000","2.714413e+00"
"case","    1.080163","4.504446e+00"
"case","4.904603e+00","2.232691e+00"
"case","    3.617565","2.500575e+00"
